lat, lon, alt, ozone, mq7, mq135_ppm, mq135_cor, bmp180_temp, bmp180_press, exectime
50.278956, 19.719693, 469.460000, 0.001000, 1434, 8283.783203, 8563.173828, 15.140120, 964.957688, 19.502124
50.278956, 19.719692, 469.430000, 0.003000, 1435, 8574.346680, 8762.364258, 15.153658, 964.948906, 20.505415
50.278957, 19.719692, 469.420000, 0.005000, 1441, 8673.250977, 8863.536133, 15.214558, 965.107541, 21.489923
50.278957, 19.719692, 469.430000, 0.008000, 1443, 8673.250977, 8965.778320, 15.221323, 965.079492, 22.510522
50.278957, 19.719692, 469.480000, 0.011000, 1444, 8773.198242, 9069.095703, 15.146889, 964.904201, 23.494390
50.278957, 19.719692, 469.410000, 0.013000, 1445, 8773.198242, 9279.012695, 15.214558, 965.089354, 24.495648
50.278957, 19.719692, 469.310000, 0.016000, 1450, 8976.265625, 9173.504883, 15.194261, 965.071645, 25.506457
50.278957, 19.719693, 469.210000, 0.018000, 1450, 8976.265625, 9279.012695, 15.214558, 965.078442, 26.513397
50.278956, 19.719692, 469.160000, 0.021000, 1451, 8976.265625, 9385.631836, 15.194261, 965.064371, 27.491507
50.278956, 19.719693, 469.190000, 0.023000, 1452, 9183.634766, 9279.012695, 15.214558, 965.052980, 28.513019
50.278956, 19.719692, 469.160000, 0.025000, 1452, 9183.634766, 9493.375000, 15.221323, 965.155877, 29.495067
50.278956, 19.719692, 469.140000, 0.029000, 1453, 9183.634766, 9493.375000, 15.160426, 964.993611, 31.520431
50.278956, 19.719692, 469.100000, 0.031000, 1453, 9079.407227, 9173.504883, 15.228088, 965.113278, 32.502356
50.278956, 19.719692, 469.030000, 0.033000, 1452, 9288.959961, 9602.253906, 15.221323, 965.181339, 33.489136
50.278955, 19.719692, 469.000000, 0.034000, 1453, 9079.407227, 9385.631836, 15.153658, 964.923448, 34.506455
50.278956, 19.719691, 469.020000, 0.035000, 1453, 9079.407227, 9493.375000, 15.214558, 965.198474, 35.486883
50.278956, 19.719691, 469.030000, 0.037000, 1453, 9183.634766, 9493.375000, 15.221323, 965.203164, 36.490601
50.278955, 19.719692, 469.090000, 0.038000, 1453, 9183.634766, 9279.012695, 15.146889, 964.962390, 37.489243
50.278955, 19.719692, 469.140000, 0.039000, 1453, 9183.634766, 9493.375000, 15.221323, 965.108591, 38.489996
50.278955, 19.719692, 469.160000, 0.038000, 1452, 9079.407227, 9602.253906, 15.173961, 965.003006, 39.486687
50.278955, 19.719692, 469.290000, 0.038000, 1452, 9079.407227, 9493.375000, 15.228088, 965.131465, 40.488839
50.278954, 19.719691, 469.220000, 0.036000, 1452, 8976.265625, 9385.631836, 15.221323, 965.075855, 41.488769
50.278954, 19.719692, 469.250000, 0.034000, 1452, 8874.199219, 9279.012695, 15.228088, 965.098728, 42.485398
50.278953, 19.719692, 469.290000, 0.033000, 1451, 8976.265625, 9279.012695, 15.221323, 965.174064, 43.486238
50.278952, 19.719692, 469.310000, 0.031000, 1450, 9079.407227, 9385.631836, 15.221323, 965.086767, 44.486256
50.278953, 19.719692, 469.360000, 0.028000, 1450, 8874.199219, 9173.504883, 15.160426, 964.913599, 46.495624
50.278953, 19.719692, 469.330000, 0.027000, 1450, 8874.199219, 9069.095703, 15.228088, 965.120553, 47.486288
50.278952, 19.719693, 469.130000, 0.025000, 1450, 8773.198242, 9279.012695, 15.133351, 964.891161, 48.486357
50.278951, 19.719693, 468.980000, 0.024000, 1445, 8976.265625, 9069.095703, 15.146889, 964.911475, 49.489791
50.278951, 19.719694, 468.790000, 0.023000, 1445, 8773.198242, 9173.504883, 15.140120, 964.921320, 50.486379
50.278950, 19.719694, 468.620000, 0.022000, 1445, 8976.265625, 9069.095703, 15.146889, 964.875107, 51.485876
50.278949, 19.719694, 468.380000, 0.021000, 1444, 8874.199219, 9069.095703, 15.153658, 964.945269, 52.485012
50.278948, 19.719695, 468.150000, 0.021000, 1444, 8874.199219, 9173.504883, 15.160426, 964.960879, 53.487889
50.278947, 19.719695, 467.970000, 0.020000, 1444, 8574.346680, 9069.095703, 15.153658, 964.894354, 54.489735
50.278946, 19.719696, 467.790000, 0.020000, 1444, 8773.198242, 9069.095703, 15.146889, 964.827829, 55.488172
50.278945, 19.719696, 467.590000, 0.020000, 1444, 8673.250977, 8863.536133, 15.241616, 965.169935, 56.491707
50.278945, 19.719697, 467.490000, 0.020000, 1443, 8673.250977, 8863.536133, 15.153658, 964.890717, 57.504887
50.278944, 19.719698, 467.330000, 0.020000, 1443, 8773.198242, 9069.095703, 15.234852, 965.077950, 58.491181
50.278944, 19.719699, 467.200000, 0.020000, 1443, 8574.346680, 8965.778320, 15.234852, 965.114325, 59.489586
50.278944, 19.719699, 467.030000, 0.020000, 1442, 8673.250977, 8863.536133, 15.248379, 965.145517, 60.491490
50.278944, 19.719699, 466.850000, 0.020000, 1442, 8574.346680, 8863.536133, 15.234852, 965.041575, 61.486786
50.278944, 19.719700, 466.690000, 0.020000, 1442, 8673.250977, 8965.778320, 15.241616, 965.097183, 62.486980
50.278944, 19.719701, 466.530000, 0.020000, 1441, 8673.250977, 8863.536133, 15.153658, 964.832527, 63.486748
50.278944, 19.719701, 466.300000, 0.020000, 1440, 8476.474609, 8863.536133, 15.173961, 964.904807, 65.484456
